time_stamp,file_name,gps_x lat,gps_y lon,gps_z alt,attitude
1679940316.716684,frames/frame_0.jpg,399407426,330458181,1087410,0
1679940316.754832,frames/frame_0.jpg,399407426,330458181,1087410,0
1679940316.794093,frames/frame_0.jpg,399407426,330458181,1087410,0
1679940316.846839,frames/frame_1.jpg,399407426,330458181,1087410,0
1679940316.875167,frames/frame_2.jpg,399407425,330458181,1087410,0
1679940316.911773,frames/frame_3.jpg,399407425,330458181,1087410,0
1679940316.954651,frames/frame_4.jpg,399407425,330458181,1087410,0
1679940316.991933,frames/frame_5.jpg,399407425,330458182,1087410,0
1679940317.050222,frames/frame_6.jpg,399407425,330458182,1087410,0
1679940317.085079,frames/frame_7.jpg,399407425,330458182,1087400,0
1679940317.112978,frames/frame_8.jpg,399407425,330458183,1087400,0
1679940317.152914,frames/frame_9.jpg,399407425,330458183,1087400,0
1679940317.193444,frames/frame_10.jpg,399407424,330458184,1087400,0
1679940317.247959,frames/frame_11.jpg,399407424,330458184,1087400,0
1679940317.272997,frames/frame_12.jpg,399407424,330458184,1087400,0
1679940317.313421,frames/frame_13.jpg,399407424,330458184,1087390,0
1679940317.353931,frames/frame_14.jpg,399407424,330458185,1087390,0
1679940317.394104,frames/frame_15.jpg,399407424,330458185,1087390,0
1679940317.451221,frames/frame_16.jpg,399407424,330458185,1087390,0
1679940317.475946,frames/frame_17.jpg,399407424,330458185,1087390,0
1679940317.511511,frames/frame_18.jpg,399407424,330458185,1087390,0
1679940317.552273,frames/frame_19.jpg,399407423,330458185,1087380,0
1679940317.592291,frames/frame_20.jpg,399407423,330458185,1087380,0
1679940317.649505,frames/frame_21.jpg,399407423,330458185,1087380,0
1679940317.673755,frames/frame_22.jpg,399407423,330458185,1087380,0
1679940317.712582,frames/frame_23.jpg,399407423,330458185,1087380,0
1679940317.755811,frames/frame_24.jpg,399407423,330458185,1087370,0
1679940317.800184,frames/frame_25.jpg,399407422,330458185,1087370,0
1679940317.850994,frames/frame_26.jpg,399407422,330458185,1087370,0
1679940317.888373,frames/frame_27.jpg,399407422,330458185,1087370,0
1679940317.917533,frames/frame_28.jpg,399407422,330458185,1087370,0
1679940317.962304,frames/frame_29.jpg,399407422,330458186,1087370,0
1679940317.992623,frames/frame_30.jpg,399407423,330458187,1087370,0
1679940318.051927,frames/frame_31.jpg,399407423,330458187,1087370,0
1679940318.093374,frames/frame_32.jpg,399407423,330458187,1087370,0
1679940318.135053,frames/frame_33.jpg,399407424,330458187,1087370,0
1679940318.164503,frames/frame_34.jpg,399407424,330458187,1087370,0
1679940318.201391,frames/frame_35.jpg,399407424,330458188,1087370,0
1679940318.24839,frames/frame_36.jpg,399407424,330458188,1087370,0
1679940318.288736,frames/frame_37.jpg,399407424,330458188,1087380,0
1679940318.328103,frames/frame_38.jpg,399407424,330458188,1087380,0
1679940318.368667,frames/frame_39.jpg,399407425,330458188,1087380,0
1679940318.415175,frames/frame_40.jpg,399407425,330458189,1087380,0
1679940318.4559,frames/frame_41.jpg,399407425,330458189,1087380,0
1679940318.4861,frames/frame_42.jpg,399407425,330458189,1087390,0
1679940318.518693,frames/frame_43.jpg,399407426,330458189,1087390,0
1679940318.559177,frames/frame_44.jpg,399407426,330458189,1087390,0
1679940318.599353,frames/frame_45.jpg,399407426,330458189,1087390,0
1679940318.649942,frames/frame_46.jpg,399407426,330458189,1087390,0
1679940318.685233,frames/frame_47.jpg,399407426,330458189,1087390,0
1679940318.719195,frames/frame_48.jpg,399407426,330458188,1087400,0
1679940318.75329,frames/frame_49.jpg,399407426,330458188,1087400,0
1679940318.793505,frames/frame_50.jpg,399407426,330458188,1087400,0
1679940318.849569,frames/frame_51.jpg,399407426,330458188,1087400,0
1679940318.875977,frames/frame_52.jpg,399407426,330458189,1087410,0
1679940318.91207,frames/frame_53.jpg,399407426,330458189,1087410,0
1679940318.960976,frames/frame_54.jpg,399407426,330458190,1087410,0
1679940318.991691,frames/frame_55.jpg,399407426,330458190,1087410,0
1679940319.050658,frames/frame_56.jpg,399407426,330458190,1087410,0
1679940319.075494,frames/frame_57.jpg,399407427,330458190,1087410,0
1679940319.113583,frames/frame_58.jpg,399407427,330458190,1087420,0
1679940319.152516,frames/frame_59.jpg,399407427,330458190,1087420,0
1679940319.193192,frames/frame_60.jpg,399407427,330458191,1087420,0
1679940319.250703,frames/frame_61.jpg,399407428,330458191,1087420,0
1679940319.28366,frames/frame_62.jpg,399407428,330458191,1087430,0
1679940319.315484,frames/frame_63.jpg,399407428,330458191,1087430,0
1679940319.352427,frames/frame_64.jpg,399407429,330458191,1087430,0
1679940319.392218,frames/frame_65.jpg,399407429,330458191,1087430,0
1679940319.449191,frames/frame_66.jpg,399407429,330458191,1087440,0
1679940319.473979,frames/frame_67.jpg,399407429,330458191,1087440,0
1679940319.513396,frames/frame_68.jpg,399407430,330458191,1087440,0
1679940319.552466,frames/frame_69.jpg,399407430,330458192,1087440,0
1679940319.593443,frames/frame_70.jpg,399407430,330458192,1087450,0
1679940319.64796,frames/frame_71.jpg,399407430,330458192,1087450,0
1679940319.674242,frames/frame_72.jpg,399407430,330458192,1087450,0
1679940319.711683,frames/frame_73.jpg,399407430,330458191,1087450,0
1679940319.751165,frames/frame_74.jpg,399407430,330458191,1087460,0
1679940319.791906,frames/frame_75.jpg,399407430,330458191,1087460,0
1679940319.846447,frames/frame_76.jpg,399407430,330458191,1087460,0
1679940319.87289,frames/frame_77.jpg,399407430,330458191,1087460,0
1679940319.912095,frames/frame_78.jpg,399407430,330458191,1087460,0
1679940319.955004,frames/frame_79.jpg,399407429,330458191,1087460,0
1679940319.992493,frames/frame_80.jpg,399407429,330458191,1087460,0
1679940320.048522,frames/frame_81.jpg,399407429,330458191,1087460,0
1679940320.072667,frames/frame_82.jpg,399407429,330458191,1087460,0
1679940320.113862,frames/frame_83.jpg,399407429,330458191,1087460,0
1679940320.151755,frames/frame_84.jpg,399407429,330458191,1087460,0
1679940320.19409,frames/frame_85.jpg,399407429,330458191,1087460,0
1679940320.24854,frames/frame_86.jpg,399407430,330458192,1087450,0
1679940320.276197,frames/frame_87.jpg,399407430,330458191,1087450,0
1679940320.312453,frames/frame_88.jpg,399407430,330458191,1087450,0
1679940320.356564,frames/frame_89.jpg,399407430,330458191,1087450,0
1679940320.392548,frames/frame_90.jpg,399407430,330458191,1087450,0
1679940320.447492,frames/frame_91.jpg,399407431,330458191,1087450,0
1679940320.472317,frames/frame_92.jpg,399407431,330458191,1087450,0
1679940320.513063,frames/frame_93.jpg,399407431,330458191,1087440,0
1679940320.552737,frames/frame_94.jpg,399407431,330458191,1087440,0
1679940320.593282,frames/frame_95.jpg,399407431,330458191,1087440,0
1679940320.64563,frames/frame_96.jpg,399407432,330458191,1087440,0
1679940320.673818,frames/frame_97.jpg,399407432,330458190,1087430,0
1679940320.711517,frames/frame_98.jpg,399407432,330458190,1087430,0
1679940320.754487,frames/frame_99.jpg,399407432,330458190,1087430,0
1679940320.791664,frames/frame_100.jpg,399407432,330458190,1087430,0
1679940320.846559,frames/frame_101.jpg,399407432,330458190,1087430,0
1679940320.872417,frames/frame_102.jpg,399407432,330458190,1087420,0
1679940320.911335,frames/frame_103.jpg,399407432,330458190,1087420,0
1679940320.955115,frames/frame_104.jpg,399407432,330458190,1087420,0
1679940320.992793,frames/frame_105.jpg,399407432,330458190,1087420,0
1679940321.04708,frames/frame_106.jpg,399407432,330458190,1087420,0
1679940321.079271,frames/frame_107.jpg,399407432,330458190,1087420,0
1679940321.114498,frames/frame_108.jpg,399407433,330458190,1087420,0
1679940321.152304,frames/frame_109.jpg,399407433,330458190,1087420,0
1679940321.192114,frames/frame_110.jpg,399407434,330458190,1087410,0
1679940321.253009,frames/frame_111.jpg,399407434,330458190,1087410,0
1679940321.282885,frames/frame_112.jpg,399407434,330458190,1087410,0
1679940321.311558,frames/frame_113.jpg,399407435,330458190,1087410,0
1679940321.35333,frames/frame_114.jpg,399407435,330458190,1087410,0
1679940321.392785,frames/frame_115.jpg,399407436,330458190,1087410,0
1679940321.449165,frames/frame_116.jpg,399407436,330458190,1087410,0
1679940321.474237,frames/frame_117.jpg,399407437,330458190,1087410,0
1679940321.512193,frames/frame_118.jpg,399407437,330458190,1087410,0
1679940321.552528,frames/frame_119.jpg,399407437,330458190,1087400,0
1679940321.59151,frames/frame_120.jpg,399407437,330458190,1087400,0
1679940321.649774,frames/frame_121.jpg,399407438,330458190,1087400,0
1679940321.675144,frames/frame_122.jpg,399407438,330458190,1087400,0
1679940321.71248,frames/frame_123.jpg,399407438,330458190,1087400,0
1679940321.752026,frames/frame_124.jpg,399407438,330458190,1087390,0
1679940321.800141,frames/frame_125.jpg,399407438,330458190,1087390,0
1679940321.848594,frames/frame_126.jpg,399407438,330458190,1087390,0
1679940321.875381,frames/frame_127.jpg,399407438,330458190,1087390,0
1679940321.911288,frames/frame_128.jpg,399407438,330458190,1087390,0
1679940321.953207,frames/frame_129.jpg,399407438,330458190,1087390,0
1679940321.992334,frames/frame_130.jpg,399407438,330458190,1087390,0
1679940322.04789,frames/frame_131.jpg,399407439,330458190,1087390,0
1679940322.073924,frames/frame_132.jpg,399407439,330458190,1087390,0
1679940322.112924,frames/frame_133.jpg,399407439,330458190,1087390,0
1679940322.158096,frames/frame_134.jpg,399407439,330458190,1087390,0
1679940322.191362,frames/frame_135.jpg,399407439,330458190,1087390,0
1679940322.246872,frames/frame_136.jpg,399407439,330458190,1087390,0
1679940322.272486,frames/frame_137.jpg,399407439,330458190,1087390,0
1679940322.312163,frames/frame_138.jpg,399407439,330458189,1087390,0
1679940322.35758,frames/frame_139.jpg,399407439,330458189,1087390,0
1679940322.392872,frames/frame_140.jpg,399407439,330458189,1087390,0
1679940322.458845,frames/frame_141.jpg,399407439,330458189,1087390,0
1679940322.484247,frames/frame_142.jpg,399407439,330458188,1087390,0
1679940322.514679,frames/frame_143.jpg,399407439,330458188,1087390,0
1679940322.553868,frames/frame_144.jpg,399407439,330458188,1087390,0
1679940322.594687,frames/frame_145.jpg,399407439,330458188,1087390,0
1679940322.646913,frames/frame_146.jpg,399407439,330458188,1087390,0
1679940322.673981,frames/frame_147.jpg,399407438,330458187,1087390,0
1679940322.711388,frames/frame_148.jpg,399407438,330458187,1087390,0
1679940322.752943,frames/frame_149.jpg,399407437,330458186,1087390,0
1679940322.794779,frames/frame_150.jpg,399407437,330458186,1087380,0
1679940322.847868,frames/frame_151.jpg,399407437,330458185,1087380,0
1679940322.873054,frames/frame_152.jpg,399407437,330458185,1087380,0
1679940322.912332,frames/frame_153.jpg,399407437,330458184,1087380,0
1679940322.957779,frames/frame_154.jpg,399407435,330458183,1087380,0
1679940322.994847,frames/frame_155.jpg,399407435,330458182,1087380,0
1679940323.048964,frames/frame_156.jpg,399407434,330458182,1087380,0
1679940323.082231,frames/frame_157.jpg,399407434,330458182,1087380,0
1679940323.117123,frames/frame_158.jpg,399407434,330458182,1087380,0
1679940323.152885,frames/frame_159.jpg,399407434,330458182,1087380,0
1679940323.196097,frames/frame_160.jpg,399407434,330458182,1087380,0
1679940323.247869,frames/frame_161.jpg,399407434,330458182,1087380,0
1679940323.272425,frames/frame_162.jpg,399407434,330458181,1087380,0
1679940323.311099,frames/frame_163.jpg,399407434,330458181,1087380,0
1679940323.352952,frames/frame_164.jpg,399407434,330458181,1087380,0
1679940323.393167,frames/frame_165.jpg,399407434,330458180,1087380,0
1679940323.446286,frames/frame_166.jpg,399407434,330458180,1087380,0
1679940323.472811,frames/frame_167.jpg,399407434,330458180,1087380,0
1679940323.512268,frames/frame_168.jpg,399407435,330458180,1087380,0
1679940323.552571,frames/frame_169.jpg,399407435,330458180,1087380,0
1679940323.592659,frames/frame_170.jpg,399407435,330458180,1087370,0
1679940323.647053,frames/frame_171.jpg,399407436,330458180,1087370,0
1679940323.679175,frames/frame_172.jpg,399407436,330458180,1087370,0
1679940323.711419,frames/frame_173.jpg,399407436,330458179,1087370,0
1679940323.751796,frames/frame_174.jpg,399407437,330458179,1087370,0
1679940323.79179,frames/frame_175.jpg,399407437,330458179,1087360,0
1679940323.847477,frames/frame_176.jpg,399407437,330458178,1087360,0
1679940323.875827,frames/frame_177.jpg,399407438,330458178,1087360,0
1679940323.91267,frames/frame_178.jpg,399407438,330458178,1087360,0
1679940323.953061,frames/frame_179.jpg,399407439,330458178,1087360,0
1679940323.996778,frames/frame_180.jpg,399407440,330458178,1087350,0
1679940324.048583,frames/frame_181.jpg,399407440,330458178,1087350,0
1679940324.081125,frames/frame_182.jpg,399407440,330458178,1087350,0
1679940324.111383,frames/frame_183.jpg,399407440,330458177,1087350,0
1679940324.151851,frames/frame_184.jpg,399407441,330458177,1087350,0
1679940324.194542,frames/frame_185.jpg,399407441,330458177,1087340,0
1679940324.249417,frames/frame_186.jpg,399407441,330458177,1087340,0
1679940324.274542,frames/frame_187.jpg,399407442,330458177,1087340,0
1679940324.312439,frames/frame_188.jpg,399407442,330458177,1087340,0
1679940324.353125,frames/frame_189.jpg,399407442,330458177,1087340,0
1679940324.39746,frames/frame_190.jpg,399407443,330458177,1087340,0
1679940324.447935,frames/frame_191.jpg,399407443,330458176,1087330,0
1679940324.472471,frames/frame_192.jpg,399407443,330458176,1087330,0
1679940324.511297,frames/frame_193.jpg,399407443,330458176,1087330,0
1679940324.551599,frames/frame_194.jpg,399407443,330458175,1087330,0
1679940324.592601,frames/frame_195.jpg,399407443,330458175,1087330,0
1679940324.647026,frames/frame_196.jpg,399407444,330458175,1087330,0
1679940324.678766,frames/frame_197.jpg,399407444,330458174,1087330,0
1679940324.713345,frames/frame_198.jpg,399407444,330458174,1087330,0
1679940324.753649,frames/frame_199.jpg,399407444,330458173,1087320,0
1679940324.793092,frames/frame_200.jpg,399407444,330458173,1087320,0
1679940324.845843,frames/frame_201.jpg,399407444,330458173,1087320,0
1679940324.873449,frames/frame_202.jpg,399407444,330458172,1087320,0
1679940324.913884,frames/frame_203.jpg,399407444,330458172,1087320,0
1679940324.951203,frames/frame_204.jpg,399407444,330458171,1087320,0
1679940324.99177,frames/frame_205.jpg,399407444,330458171,1087320,0
1679940325.046334,frames/frame_206.jpg,399407444,330458171,1087310,0
1679940325.072122,frames/frame_207.jpg,399407444,330458170,1087310,0
1679940325.112506,frames/frame_208.jpg,399407444,330458170,1087310,0
1679940325.152469,frames/frame_209.jpg,399407444,330458170,1087310,0
1679940325.19225,frames/frame_210.jpg,399407444,330458170,1087310,0
1679940325.247366,frames/frame_211.jpg,399407443,330458169,1087300,0
1679940325.275557,frames/frame_212.jpg,399407443,330458169,1087300,0
